id,dealer_code,dealer_name,store_numbers,working_hours
32,11558,Shreeji Automobiles,"[""+919871628899"",""+918303977294"",""+918448140041"",""+919289108898"",""+919289108899""]","{""sun"":[{""working_from"":""0900"",""working_to"":""1830""}],""mon"":[{""working_from"":""0900"",""working_to"":""1830""}],""tue"":[{""working_from"":""0900"",""working_to"":""1830""}],""wed"":[{""working_from"":""0900"",""working_to"":""1830""}],""thu"":[{""working_from"":""0900"",""working_to"":""1830""}],""fri"":[{""working_from"":""0900"",""working_to"":""1830""}],""sat"":[{""working_from"":""0900"",""working_to"":""1830""}]}"
33,244,MARIKAR MOTORS SALES,"[""+919947774461"",""+919847064032"",""+919526707444"",""+919847066613"",""+917593000469"",""+919562166629"",""+919947031124"",""+918848665962"",""+919744673111"",""+919526584442""]","{""sun"":[{""working_from"":""0900"",""working_to"":""1800""}],""mon"":[{""working_from"":""0900"",""working_to"":""1900""}],""tue"":[{""working_from"":""0900"",""working_to"":""1900""}],""wed"":[{""working_from"":""0900"",""working_to"":""1900""}],""thu"":[{""working_from"":""0900"",""working_to"":""1900""}],""fri"":[{""working_from"":""0900"",""working_to"":""1900""}],""sat"":[{""working_from"":""0900"",""working_to"":""1900""}]}"
34,6903,Munjani Motors- Sales,"[""+917436000100"",""+919825919771"",""+917436000200"",""+917436000500""]","{""sun"":[{""working_from"":""1030"",""working_to"":""1400""}],""mon"":[{""working_from"":""0930"",""working_to"":""1900""}],""tue"":[{""working_from"":""0930"",""working_to"":""1900""}],""wed"":[{""working_from"":""0930"",""working_to"":""1900""}],""thu"":[{""working_from"":""0930"",""working_to"":""1900""}],""fri"":[{""working_from"":""0930"",""working_to"":""1900""}],""sat"":[{""working_from"":""0930"",""working_to"":""1900""}]}"
35,85,SILIGURI DISTRIBUTORS,"[""+919434465617"",""+917479043404"",""+917029235988"",""+918158823222""]","{""sun"":[{""working_from"":""0930"",""working_to"":""2030""}],""mon"":[{""working_from"":""0930"",""working_to"":""2030""}],""tue"":[{""working_from"":""0930"",""working_to"":""2030""}],""wed"":[{""working_from"":""0930"",""working_to"":""2030""}],""thu"":[{""working_from"":""0930"",""working_to"":""2030""}],""fri"":[{""working_from"":""0930"",""working_to"":""2030""}],""sat"":[{""working_from"":""0930"",""working_to"":""2030""}]}"
36,4311,RR Automotive - Sales,"[""+918878666102"",""+917389478110"",""+919826660605"",""+918770943012"",""+917987936129"",""+918878660200"",""+918819096334"",""+918349825332""]","{""sun"":[{""working_from"":""1100"",""working_to"":""1900""}],""mon"":[{""working_from"":""0930"",""working_to"":""2030""}],""tue"":[{""working_from"":""0930"",""working_to"":""2030""}],""wed"":[{""working_from"":""0930"",""working_to"":""2030""}],""thu"":[{""working_from"":""0930"",""working_to"":""2030""}],""fri"":[{""working_from"":""0930"",""working_to"":""2030""}],""sat"":[{""working_from"":""0930"",""working_to"":""2030""}]}"
37,100042,Company Showroom Bandra - Sales,"[""+918850761840"",""+919769873687""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2000""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
38,6182,Bullmenn Motors,"[""+919514555506"",""+917092900000"",""+919345091526"",""+919600890999"",""+919629733351"",""+919994577767"",""+919150004634"",""+919514555513""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2030""}],""mon"":[{""working_from"":""0900"",""working_to"":""2030""}],""tue"":[{""working_from"":""0900"",""working_to"":""2030""}],""wed"":[{""working_from"":""0900"",""working_to"":""2030""}],""thu"":[{""working_from"":""0900"",""working_to"":""2030""}],""fri"":[{""working_from"":""0900"",""working_to"":""2030""}],""sat"":[{""working_from"":""0900"",""working_to"":""2030""}]}"
39,11925,Vogue Motocorp,"[""+919892929339"",""+917498546818"",""+919167996003"",""+918433557733"",""+919029159800"",""+917304793314"",""+919136673901""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2000""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
40,7423,Anmol Motors,"[""+917440017199"",""+919437018811"",""+917440017195"",""+919777112527"",""+917440017196""]","{""sun"":[{""working_from"":""0900"",""working_to"":""1900""}],""mon"":[{""working_from"":""0900"",""working_to"":""1900""}],""tue"":[{""working_from"":""0900"",""working_to"":""1900""}],""wed"":[{""working_from"":""0900"",""working_to"":""1900""}],""thu"":[{""working_from"":""0900"",""working_to"":""1900""}],""fri"":[{""working_from"":""0900"",""working_to"":""1900""}],""sat"":[{""working_from"":""0900"",""working_to"":""1900""}]}"
41,93,MANMOHAN AUTO STORES-SALES,"[""+919216567888"",""+918558888115"",""+919216527366"",""+917986644647"",""+919216578887"",""+919888027366""]","{""sun"":[{""working_from"":""0930"",""working_to"":""1500""}],""mon"":[{""working_from"":""0930"",""working_to"":""1930""}],""tue"":[{""working_from"":""0930"",""working_to"":""1930""}],""wed"":[{""working_from"":""0930"",""working_to"":""1930""}],""thu"":[{""working_from"":""0930"",""working_to"":""1930""}],""fri"":[{""working_from"":""0930"",""working_to"":""1930""}],""sat"":[{""working_from"":""0930"",""working_to"":""1930""}]}"
